"Timestamp","Average A/L MCQ Marks (Out of 50)","Number of A/L Attempts","Which social media platforms do you use?","Approximately how many hours per day do you spend on social media?","Approximately how many hours per day do you spend on self-study (outside of school/tuition)?","Select the type of tuition class you attend for Subject 1:","Select the type of tuition class you attend for Subject 2:","Select the type of tuition class you attend for Subject 3:","How many years of past papers have you completed for each subject (on average)?","What was your average school attendance percentage during the A/L period?","Were you in a romantic relationship during your A/L preparation period?","On average, how would you rate your stress level during the A/L preparation period?"
"2026/01/22 8:56:46 PM GMT+5:30","30","2nd Attempt","WhatsApp;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","","8-10 years","Below 50%","No","Moderate"
"2026/01/22 8:56:49 PM GMT+5:30","20","1st Attempt","Instagram;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Group","Mass Class","Mass Class","8-10 years","Above 90%","No","High"
"2026/01/22 8:56:59 PM GMT+5:30","30","1st Attempt","TikTok;WhatsApp;Telegram;YouTube","1-3 hours","2-4 hours","Individual;Group","Individual;Group","Individual","1-3 years","Above 90%","No","Moderate"
"2026/01/22 8:57:10 PM GMT+5:30","41","2nd Attempt","WhatsApp;Telegram;YouTube","3-5 hours","6+ hours","Mass Class","Mass Class","Group","8-10 years","Below 50%","Yes","Very High"
"2026/01/22 8:57:15 PM GMT+5:30","30","2nd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","Low"
"2026/01/22 8:57:25 PM GMT+5:30","36","1st Attempt","Instagram;WhatsApp;Snapchat;YouTube","1-3 hours","2-4 hours","Group","Group;Mass Class","Mass Class","4-7 years","50-75%","No","Low"
"2026/01/22 8:57:28 PM GMT+5:30","30","2nd Attempt","Telegram","None","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","Moderate"
"2026/01/22 8:57:33 PM GMT+5:30","30","3rd Attempt","Facebook;WhatsApp;Telegram;YouTube","3-5 hours","4-6 hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
"2026/01/22 8:57:45 PM GMT+5:30","35 ","1st Attempt","TikTok;WhatsApp;Telegram;YouTube","Less than 1 hour","4-6 hours","Mass Class","Mass Class","Mass Class","4-7 years","Below 50%","Yes","Moderate"
"2026/01/22 8:57:50 PM GMT+5:30","40","3rd Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","High"
"2026/01/22 8:57:51 PM GMT+5:30","35","2nd Attempt","Facebook;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","4-7 years","Below 50%","No","High"
"2026/01/22 8:57:51 PM GMT+5:30","35","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube","3-5 hours","2-4 hours","Group","Group","Group","4-7 years","50-75%","No","High"
"2026/01/22 8:57:58 PM GMT+5:30","30","3rd Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","1-3 years","Below 50%","No","Low"
"2026/01/22 8:58:03 PM GMT+5:30","39","1st Attempt","WhatsApp;Telegram;YouTube","3-5 hours","2-4 hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","Yes","Moderate"
"2026/01/22 8:58:07 PM GMT+5:30","30","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","4-7 years","Above 90%","No","Moderate"
"2026/01/22 8:58:07 PM GMT+5:30","30","2nd Attempt","TikTok;WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","No","Moderate"
"2026/01/22 8:58:15 PM GMT+5:30","36","3rd Attempt","Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube","Over 5 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","High"
"2026/01/22 8:58:17 PM GMT+5:30","20","2nd Attempt","Instagram;WhatsApp;Snapchat;YouTube","1-3 hours","2-4 hours","None","Mass Class","Group","4-7 years","75-90%","No","Moderate"
"2026/01/22 8:58:19 PM GMT+5:30","38","2nd Attempt","WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","Very High"
"2026/01/22 8:58:28 PM GMT+5:30","30","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram","Less than 1 hour","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","50-75%","No","High"
"2026/01/22 8:58:29 PM GMT+5:30","30","2nd Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","75-90%","Yes","High"
"2026/01/22 8:59:36 PM GMT+5:30","25","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","4-7 years","Above 90%","No","High"
"2026/01/22 9:00:03 PM GMT+5:30","40","2nd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","3-5 hours","4-6 hours","Group","Group","Group","4-7 years","Above 90%","Yes","Moderate"
"2026/01/22 9:00:06 PM GMT+5:30","38.5","2nd Attempt","WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","4-7 years","Below 50%","No","Moderate"
"2026/01/22 9:00:22 PM GMT+5:30","33","1st Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube;Other","3-5 hours","2-4 hours","Mass Class","Mass Class","Mass Class","More than 10 years","50-75%","Yes","High"
"2026/01/22 9:01:02 PM GMT+5:30","","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","6+ hours","Group","Mass Class","Mass Class","8-10 years","Below 50%","No","High"
"2026/01/22 9:01:04 PM GMT+5:30","30","1st Attempt","Instagram;WhatsApp;Telegram","1-3 hours","6+ hours","Group","Mass Class","Group","8-10 years","Below 50%","No","Low"
